regime,law,mean_repeats,dataset,group,year,source,zipf_exponent,lognormal_sigma,geometric_tail,n_types,loglog_r2,csn_xmin,csn_alpha,csn_tail,tail_fraction,gof_p,gof_failed,lr_R,lr_normalized_R,lr_p,lr_at_bound,lr_mu,lr_sigma,lr_gap,error
finch,zipf,1.0,0,26,,true,1.0,1.0,0.05,10,0.9536959543618517,4.0,1.8711704119697818,10.0,1.0,0.08,0.0,-1.4103163233507061,-1.0940452025941279,0.27393515367416743,False,2.1445328602391296,0.9040432913732536,5.9188209888816345e-12,
finch,zipf,1.0,0,27,,discovered,1.0,1.0,0.05,34,0.9102946511570196,1.0,1.8255228436418511,34.0,1.0,0.33,0.0,-0.9439188426636658,-0.862773185028218,0.3882621851235012,False,-1.952236922169159,1.8866775942416736,1.892885848064907e-11,
finch,zipf,1.0,0,27,,true,1.0,1.0,0.05,10,0.9179928098226987,2.0,1.5503759608605856,10.0,1.0,0.03,0.0,-2.7763479902656782,-1.4444836123130942,0.14860298619905646,False,2.179506161066357,1.0154557478292607,3.410605131648481e-13,
finch,zipf,1.0,0,28,,discovered,1.0,1.0,0.05,39,0.8939244582001142,1.0,2.1616814174612045,39.0,1.0,0.73,0.0,0.18782953105260503,0.41962333184662703,0.6747606410896122,False,-372071.50388992723,504.3748858812736,0.00017046248194674263,
finch,zipf,1.0,0,28,,true,1.0,1.0,0.05,10,0.940393228825492,3.0,1.6970276806142686,10.0,1.0,0.04,0.0,-2.487782367449346,-1.4351659050952807,0.15123982678598008,False,2.2810793737541886,0.8528339918489579,1.4210854715202004e-13,
finch,zipf,1.0,0,29,,discovered,1.0,1.0,0.05,35,0.9463533688853767,1.0,1.7549457902211842,35.0,1.0,0.09,0.0,-1.5380119631741263,-1.0630640473435362,0.28775290731587955,False,-1.0105379553950278,1.733294087210882,5.400124791776761e-13,
finch,zipf,1.0,0,29,,true,1.0,1.0,0.05,10,0.9048804423679767,3.0,1.6615956134260828,10.0,1.0,0.07,0.0,-3.3985840321453797,-1.5735615092236535,0.11558885769421388,False,2.4294067317955337,0.7561382490582838,4.453681867744308e-11,
finch,zipf,1.0,1,0,,discovered,1.0,1.0,0.05,38,0.9439521381998228,3.0,2.503282325139006,12.0,0.3157894736842105,0.64,0.0,0.029676573514810567,0.2591888218810589,0.7954895553360495,False,-187577.07958818748,336.7679389935513,3.492169525998179e-05,
finch,zipf,1.0,1,0,,true,1.0,1.0,0.05,10,0.935848971893351,3.0,1.7392027340690526,10.0,1.0,0.32,0.0,-0.9029916220798291,-0.7879989919307843,0.43069729553390845,False,1.6270748977939258,1.2979987633968726,1.3500311979441904e-13,
finch,zipf,1.0,1,1,,discovered,1.0,1.0,0.05,35,0.9365601109356942,2.0,2.313948305396657,19.0,0.5428571428571428,0.51,0.0,0.032948864833531766,0.14227636791291998,0.8868617122910202,False,-248909.08279474458,406.973213161719,6.130049587227404e-05,
finch,zipf,1.0,1,1,,true,1.0,1.0,0.05,10,0.8620781768143321,2.0,1.5180310657716751,10.0,1.0,0.01,0.0,-4.396834366301654,-1.7369554056912486,0.08239504253112293,False,2.391927934076211,0.8269891933294662,1.0942358130705543e-12,
finch,zipf,1.0,1,2,,discovered,1.0,1.0,0.05,36,0.9549891308071199,1.0,1.8401457493404112,36.0,1.0,0.34,0.0,-1.078426188465123,-0.8366314144388076,0.40279978186847587,False,-2.442476631730729,1.9850000715472527,3.1374725040222984e-10,
finch,zipf,1.0,1,2,,true,1.0,1.0,0.05,10,0.9445970546863066,3.0,1.7096860128781322,10.0,1.0,0.0,0.0,-2.1935944191459678,-1.4096137086132579,0.1586537769379155,False,2.2147656612861235,0.895654091592838,2.594902070995886e-11,
