law,mean_repeats,rep,n_elements_total,true_word_types,true_r2,threshold,pipeline_r2,n_unit_types,n_units,boundary_f1,shuffle_mean,shuffle_sd,shuffle_z,shuffle_p,rotate_mean,rotate_sd,rotate_z,rotate_p,bigram_mean,bigram_sd,bigram_z,bigram_p
zipf,5.0,4,5542,72,0.901932532670506,0.5,0.9613623525606707,193,1185,0.3808472582010083,0.7002316279660471,0.017308348592779375,15.086980897967415,0.004975124378109453,0.9121648867757195,0.008855849319381779,5.55536391944682,0.004975124378109453,0.8993519992444218,0.01132975474392902,5.473229978740432,0.004975124378109453
zipf,5.0,4,5542,72,0.901932532670506,0.75,0.9369692950332805,187,2241,0.3230666484920725,,,,,,,,,,,,
zipf,5.0,5,5610,70,0.8460716641223418,0.25,0.8339191378411671,212,385,0.25434629980996143,,,,,,,,,,,,
zipf,5.0,5,5610,70,0.8460716641223418,0.5,0.9312385347797631,214,976,0.3714386628634716,0.6459045414651754,0.02129682373077553,13.397960039564888,0.004975124378109453,0.8865869513988187,0.01190535539954646,3.750546025920861,0.004975124378109453,0.8661333091025211,0.014463503721088473,4.501345381639138,0.004975124378109453
zipf,5.0,5,5610,70,0.8460716641223418,0.75,0.8780153623991013,191,1624,0.4542680053107578,,,,,,,,,,,,
zipf,5.0,6,6800,69,0.9063508046615518,0.25,0.8983043791100108,214,588,0.2688439889611194,,,,,,,,,,,,
zipf,5.0,6,6800,69,0.9063508046615518,0.5,0.9310261280436944,219,1238,0.3861609325072663,0.6655190733529096,0.01559894824056089,17.02083054551106,0.004975124378109453,0.9133635346823883,0.008140322543136853,2.1697657884818797,0.004975124378109453,0.8933041577622217,0.011434516068884534,3.2989564275589496,0.004975124378109453
zipf,5.0,6,6800,69,0.9063508046615518,0.75,0.9325349908571101,193,2215,0.3133002432098667,,,,,,,,,,,,
zipf,5.0,7,6146,69,0.895351475030387,0.25,0.8855314159601232,224,736,0.3270884498165865,,,,,,,,,,,,
zipf,5.0,7,6146,69,0.895351475030387,0.5,0.9342503809265643,216,1337,0.4072158343969211,0.6977992082577225,0.016980134237598653,13.925165099418024,0.004975124378109453,0.9253908637554241,0.007636060633387659,1.1602209040094753,0.13930348258706468,0.8728691067749503,0.014274404179121562,4.300093606806596,0.004975124378109453
zipf,5.0,7,6146,69,0.895351475030387,0.75,0.920212473816024,186,2665,0.355284970683934,,,,,,,,,,,,
zipf,5.0,8,5680,69,0.8910870018597215,0.25,0.8885814609753592,191,521,0.24740870550823715,,,,,,,,,,,,
zipf,5.0,8,5680,69,0.8910870018597215,0.5,0.9433372583680724,208,933,0.3363910779186418,0.7331736896935979,0.016103527418763773,13.050778454265409,0.004975124378109453,0.9045884254534252,0.011667353430515224,3.32113303547504,0.004975124378109453,0.8518013205324343,0.015139288738730347,6.046250878448779,0.004975124378109453
