kind,config,sweep,policy,law,level,statistic,auc,lo,hi,r2_zipf,r2_law,cuts_zipf,cuts_law,share_zipf,share_law
finch,primary,base,zero,lognormal,repeats=1,bigram_z,0.6011111111111112,0.45663888888888887,0.7366944444444443,0.9228711718503102,0.917248062650947,11.396777777777777,11.154555555555554,0.7666666666666667,0.6333333333333333
finch,primary,base,zero,lognormal,repeats=1,observed_mean_slope,0.5922222222222222,0.44663888888888886,0.7411388888888888,0.9228711718503102,0.917248062650947,11.396777777777777,11.154555555555554,0.7666666666666667,0.6333333333333333
finch,primary,base,zero,lognormal,repeats=1,observed_mean_unit_types,0.7,0.5660972222222223,0.8261388888888888,0.9228711718503102,0.917248062650947,11.396777777777777,11.154555555555554,0.7666666666666667,0.6333333333333333
finch,primary,base,zero,geometric,repeats=1,observed_mean_r2,0.6311111111111111,0.4866666666666667,0.7633333333333333,0.9228711718503102,0.9154585379838294,11.396777777777777,11.539777777777779,0.7666666666666667,0.5
finch,primary,base,zero,geometric,repeats=1,shuffle_z,0.6933333333333334,0.55,0.8144444444444444,0.9228711718503102,0.9154585379838294,11.396777777777777,11.539777777777779,0.7666666666666667,0.5
finch,primary,base,zero,geometric,repeats=1,rotate_z,0.6566666666666666,0.5110833333333333,0.7900555555555553,0.9228711718503102,0.9154585379838294,11.396777777777777,11.539777777777779,0.7666666666666667,0.5
finch,primary,base,zero,geometric,repeats=1,bigram_z,0.6711111111111111,0.5254166666666666,0.8077777777777778,0.9228711718503102,0.9154585379838294,11.396777777777777,11.539777777777779,0.7666666666666667,0.5
finch,primary,base,zero,geometric,repeats=1,observed_mean_slope,0.6766666666666666,0.5288888888888889,0.8111111111111111,0.9228711718503102,0.9154585379838294,11.396777777777777,11.539777777777779,0.7666666666666667,0.5
finch,primary,base,zero,geometric,repeats=1,observed_mean_unit_types,0.69,0.5522222222222222,0.8144444444444444,0.9228711718503102,0.9154585379838294,11.396777777777777,11.539777777777779,0.7666666666666667,0.5
finch,primary,tail0.01,skip,geometric,repeats=1,observed_mean_r2,0.56,0.4122222222222222,0.7155833333333331,0.9228711718503102,0.9176016764003331,11.396777777777777,11.080888888888891,0.7666666666666667,0.13333333333333333
finch,primary,tail0.01,skip,geometric,repeats=1,shuffle_z,0.8288888888888889,0.7033055555555556,0.9277777777777778,0.9228711718503102,0.9176016764003331,11.396777777777777,11.080888888888891,0.7666666666666667,0.13333333333333333
finch,primary,tail0.01,skip,geometric,repeats=1,rotate_z,0.8755555555555555,0.77775,0.9511111111111111,0.9228711718503102,0.9176016764003331,11.396777777777777,11.080888888888891,0.7666666666666667,0.13333333333333333
finch,primary,tail0.01,skip,geometric,repeats=1,bigram_z,0.8677777777777778,0.7533055555555556,0.9522222222222222,0.9228711718503102,0.9176016764003331,11.396777777777777,11.080888888888891,0.7666666666666667,0.13333333333333333
finch,primary,tail0.01,skip,geometric,repeats=1,observed_mean_slope,0.9133333333333333,0.8188611111111112,0.9844444444444445,0.9228711718503102,0.9176016764003331,11.396777777777777,11.080888888888891,0.7666666666666667,0.13333333333333333
finch,primary,tail0.01,skip,geometric,repeats=1,observed_mean_unit_types,0.9911111111111112,0.9688888888888889,1.0,0.9228711718503102,0.9176016764003331,11.396777777777777,11.080888888888891,0.7666666666666667,0.13333333333333333
finch,primary,tail0.2,skip,geometric,repeats=1,observed_mean_r2,0.8055555555555556,0.6855277777777778,0.9088888888888889,0.9228711718503102,0.9080071570919094,11.396777777777777,11.235000000000001,0.7666666666666667,0.9
